tipo,codigo,descripcion
Señal Preventiva,sp-29 ,proximidad de señal “pare” 
Señal Preventiva,sp-30 ,reduccion de la calzada a la izquierda
Señal Preventiva,sp-31 ,reduccion de la calzada a la derecha
Señal Preventiva,sp-32 ,ensanchamento simetrico de la calzada 
Señal Preventiva,sp-33 ,proximida de señal “ceda el paso”
Señal Preventiva,sp-34,ensanchamiento de la calzada a la izquierda
Señal Preventiva,sp-35 ,ensanchamiento de la calzada a la derecha
Señal Preventiva,sp-36 ,puente angosto
Señal Preventiva,sp-37 ,tunel 
Señal Preventiva,sp-38 ,peso maximo bruto vehicular permitido
Señal Preventiva,sp-39 ,dos sentidos de transito   
Señal Preventiva,sp-41 ,"tres carriles de transito, uno en contraflujo"
Señal Preventiva,sp-42,zona de derrumbes 
Señal Preventiva,sp-43 ,"tres carriles de transito, dos en contraflujo"
Señal Preventiva,sp-44,superficie deslizante 
Señal Preventiva,sp-45 ,maquina agricola en la via
Señal Preventiva,sp-46 ,zona de peatones 
Señal Preventiva,sp-46a ,proximidad de cruce peatonal 
Señal Preventiva,sp-46b ,ubicacion de cruce peatonal
Señal Preventiva,sp-47 ,zona escolar 
Señal Preventiva,sp-47a ,proximidad de cruce escolar 
Señal Preventiva,sp-47b ,ubicacion de cruce escolar 
Señal Preventiva,sp-48 ,niños jugando 
Señal Preventiva,sp-49 ,animales en la via 
Señal Preventiva,sp-50,altura libre
Señal Preventiva,sp-51 ,ancho libre   
Señal Preventiva,sp-52 ,cruce a nivel    
Señal Preventiva,sp-52a ,cruce ferroviario a nivel con barreras 
Señal Preventiva,sp-53 ,barreras 
Señal Preventiva,sp-54 ,cruz de san andrés 
Señal Preventiva,sp-55 ,inicio de separador dos sentidos
Señal Preventiva,sp-55a   ,inicio de separador un sentido  
Señal Preventiva,sp-56 ,final de via con separador dos sentidos
Señal Preventiva,sp-56a ,final de via con separador un sentido 
Señal Preventiva,sp-57 ,final del pavimento    
Señal Preventiva,sp-59 ,ciclistas en la via  
Señal Preventiva,sp-59a,cruce de ciclistas  
Señal Preventiva,sp-59b  ,ubicacion de cruce de ciclistas 
Señal Preventiva,sp-67 ,riesgo de accidente 
Señal Preventiva,sp-68 ,conservar espaciamiento
Señal Preventiva,sp-69 ,curva muy cerrada a la izquierda
Señal Preventiva,sp-70  ,curva muy cerrada a la derecha 
Señal Preventiva,sp-71 ,proyeccion de gravilla 
Señal Preventiva,sp-72 ,salida de vehiculos de bomberos 
Señal Preventiva,sp-73 ,rafagas de viento lateral  
Señal Preventiva,sp-74 ,desnivel severo      
Señal Preventiva,sp-75 ,delineador curva horizontal    
Señales preventivas-Facilidades para ciclistas,spc-01 ,vehiculos cicloruta    
Señales preventivas-Facilidades para ciclistas,spc-02 ,descenso fuerte     
Señales preventivas-Facilidades para ciclistas,spc-03,ascenso fuerte    
Señal informativa,inf,descripcion
Señal informativas-Facilidades para ciclistas,sic-01 ,nombre o codigo de la ciclorruta 
Señal informativas-Facilidades para ciclistas,sic-02 ,direccion de la ciclorruta 
Señal informativas-Facilidades para ciclistas,sic-03 ,cicloparqueadero   
Señal informativas-Facilidades para ciclistas,sic-04,fin de cicloruta  
Señal informativas-Facilidades para ciclistas,sic-05 ,inicio ciclorruta    
Señal informativas-Facilidades para ciclistas,sic-06 ,zona compartida ciclistas-peatones  
Señal informativas-Facilidades para ciclistas,sic-07 ,inicio de ciclobanda 
Señal informativas-Facilidades para ciclistas,sic-08 ,fin de ciclobanda  
Señal informativas-Facilidades para motociclistas,sim-01 ,inicio motovia
Señal informativas-Facilidades para motociclistas,sim-02 ,fin motovia      
Señales servicios generales y especiales,si-07 ,sitio de parqueo 
Señales servicios generales y especiales,si-07a ,zona especial de parqueo 
Señales servicios generales y especiales,si-08,paradero de buses 
Señales servicios generales y especiales,si-09 ,estacionamiento de taxis
Señales servicios generales y especiales,si-10,transbordador 
Señales servicios generales y especiales,si-11 ,via para ciclistas
Señales servicios generales y especiales,si-13 ,zona militar      
Señales servicios generales y especiales,si-14 ,aeropuerto 
Señales servicios generales y especiales,si-15 ,hospedaje     
Señales servicios generales y especiales,si-16 ,primeros auxilios    
Señales servicios generales y especiales,si-17 ,servicios sanitarios   
